"DATE","Year","Month","Day","Tmin","Tmax","Prec","ssp","gcm","scenario_year","yday","season","id"
"2000-07-29 12:00:00",2000,7,29,14.74,23.57,0,"ssp126","ACCESS-CM2","2075",211,2001,"ssp126--ACCESS-CM2--2075"
"2000-07-30 12:00:00",2000,7,30,13.48,21.73,0.18,"ssp126","ACCESS-CM2","2075",212,2001,"ssp126--ACCESS-CM2--2075"
"2000-07-31 12:00:00",2000,7,31,9.89,24.38,4.98,"ssp126","ACCESS-CM2","2075",213,2001,"ssp126--ACCESS-CM2--2075"
"2000-08-01 12:00:00",2000,8,1,10.68,26.87,1.64,"ssp126","ACCESS-CM2","2075",214,2001,"ssp126--ACCESS-CM2--2075"
"2000-08-02 12:00:00",2000,8,2,14.55,24.68,0,"ssp126","ACCESS-CM2","2075",215,2001,"ssp126--ACCESS-CM2--2075"
"2000-08-03 12:00:00",2000,8,3,16.83,23.63,1.44,"ssp126","ACCESS-CM2","2075",216,2001,"ssp126--ACCESS-CM2--2075"
"2000-08-04 12:00:00",2000,8,4,18.42,24.91,9.82,"ssp126","ACCESS-CM2","2075",217,2001,"ssp126--ACCESS-CM2--2075"
"2000-08-05 12:00:00",2000,8,5,14.87,29.59,5.21,"ssp126","ACCESS-CM2","2075",218,2001,"ssp126--ACCESS-CM2--2075"
"2000-08-06 12:00:00",2000,8,6,20.57,27.62,0,"ssp126","ACCESS-CM2","2075",219,2001,"ssp126--ACCESS-CM2--2075"
"2000-08-07 12:00:00",2000,8,7,22.97,31.66,0,"ssp126","ACCESS-CM2","2075",220,2001,"ssp126--ACCESS-CM2--2075"
"2000-08-08 12:00:00",2000,8,8,19.2,25.71,18.83,"ssp126","ACCESS-CM2","2075",221,2001,"ssp126--ACCESS-CM2--2075"
"2000-08-09 12:00:00",2000,8,9,17.98,36.49,0,"ssp126","ACCESS-CM2","2075",222,2001,"ssp126--ACCESS-CM2--2075"
"2000-08-10 12:00:00",2000,8,10,18.78,32.63,0,"ssp126","ACCESS-CM2","2075",223,2001,"ssp126--ACCESS-CM2--2075"
"2000-08-11 12:00:00",2000,8,11,15.82,34.59,0,"ssp126","ACCESS-CM2","2075",224,2001,"ssp126--ACCESS-CM2--2075"
"2000-08-12 12:00:00",2000,8,12,12.38,34.92,0,"ssp126","ACCESS-CM2","2075",225,2001,"ssp126--ACCESS-CM2--2075"
"2000-08-13 12:00:00",2000,8,13,15.49,34.98,0,"ssp126","ACCESS-CM2","2075",226,2001,"ssp126--ACCESS-CM2--2075"
"2000-08-14 12:00:00",2000,8,14,17.61,34.51,0,"ssp126","ACCESS-CM2","2075",227,2001,"ssp126--ACCESS-CM2--2075"
"2000-08-15 12:00:00",2000,8,15,17.13,30.61,0,"ssp126","ACCESS-CM2","2075",228,2001,"ssp126--ACCESS-CM2--2075"
"2000-08-16 12:00:00",2000,8,16,16.27,32.74,0,"ssp126","ACCESS-CM2","2075",229,2001,"ssp126--ACCESS-CM2--2075"
"2000-08-17 12:00:00",2000,8,17,15.58,27.03,5.82,"ssp126","ACCESS-CM2","2075",230,2001,"ssp126--ACCESS-CM2--2075"
"2000-08-18 12:00:00",2000,8,18,18.32,26.96,4.07,"ssp126","ACCESS-CM2","2075",231,2001,"ssp126--ACCESS-CM2--2075"
"2000-08-19 12:00:00",2000,8,19,19.94,29.45,5.82,"ssp126","ACCESS-CM2","2075",232,2001,"ssp126--ACCESS-CM2--2075"
"2000-08-20 12:00:00",2000,8,20,16.99,33.9,0,"ssp126","ACCESS-CM2","2075",233,2001,"ssp126--ACCESS-CM2--2075"
"2000-08-21 12:00:00",2000,8,21,11.65,30.36,0,"ssp126","ACCESS-CM2","2075",234,2001,"ssp126--ACCESS-CM2--2075"
"2000-08-22 12:00:00",2000,8,22,15.36,26.29,0.19,"ssp126","ACCESS-CM2","2075",235,2001,"ssp126--ACCESS-CM2--2075"
"2000-08-23 12:00:00",2000,8,23,22.55,27.65,1.19,"ssp126","ACCESS-CM2","2075",236,2001,"ssp126--ACCESS-CM2--2075"
"2000-08-24 12:00:00",2000,8,24,22.27,28.67,22.69,"ssp126","ACCESS-CM2","2075",237,2001,"ssp126--ACCESS-CM2--2075"
"2000-08-25 12:00:00",2000,8,25,16.18,26.32,9.83,"ssp126","ACCESS-CM2","2075",238,2001,"ssp126--ACCESS-CM2--2075"
"2000-08-26 12:00:00",2000,8,26,14.72,24.79,0,"ssp126","ACCESS-CM2","2075",239,2001,"ssp126--ACCESS-CM2--2075"
